queue_order,coding_instance_id,is_recode,recode_pair_id,recode_of_instance_id,sample_block,sample_subblock,global_trial_id,study,source_run,source_label,source_file,source_row,trial_id_original,word,word_author,word_meta,word_set,status,condition,reality,category,ontology,frame_id,frame_name,speech_act,person,rep_n,trial_n,model,model_family,model_tier,prompt,response,scout_label,scout_edge_score,scout_word_count,surface_code_primary,surface_code_secondary,interpretive_route,confidence,explicit_nonrecognition,explicit_not_real_or_no_evidence,uncertainty_marker,hypothetical_marker,fictional_marker,concrete_traits,substitution_attempt,field_guide_register,broad_uptake,substantive_invention,hard_describe,substitution,deflection,needs_review,substitution_target,coder_notes,machine_challenge_notes,created_at,updated_at,time_spent_seconds,codebook_version,app_version,pass1_code,pass1_broad_uptake,pass1_substantive_invention,pass1_hard_describe,pass1_substitution,pass1_deflection,pass2_reason,pass1_code_original,pass1_code_recode,exact_same
7,I0049,0,,,B4_qq_pragmatic_frames,QQ F2 frame,qq_crossover_completion::claude_vrishnokov_F2_gpt-5.4-nano_r5::20745f7e,Question Question,qq_crossover_completion,Question Question crossover completion,The_Question_Question/The Question Question/naturalist_crossover_tools/results/qq_crossover_missing_no_flurbenheim.jsonl,1361,claude_vrishnokov_F2_gpt-5.4-nano_r5,vrishnokov,claude,Slavic,,real,real_animal,real,animal,animal,F2,question,question,2nd,5.0,,gpt-5.4-nano,GPT,small,What is a vrishnokov? It is a real animal.,"A **Vrishṇokavaka / Vrishnokova (vrish-nok-ov-uh)** is the **name given in some South Asian traditions to a specific celestial “animal” or mythical creature**—not a standard modern zoological term. People often describe it in the context of **constellations or religious/astronomical symbolism**, rather than as a real species you could find in nature.

That said, the term isn’t consistently spelled in English, and it may be a **misspelling or variant transliteration** of something else in a local language.

If you tell me **where you heard the word** (book, language, religion/region, or the exact spelling), I can identify the most likely original term and what animal it refers to.",likely_substitute,3,111,SUBSTITUTE,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,,,2026-05-04 19:29:45,2026-05-04 19:30:02,10.55,harmonized-v0.2-fastpass,0.2.0-fast,SUBSTITUTE,True,False,False,True,False,SUBSTITUTE; QQ_nondeflect_or_review,,,
10,I0589,0,,,B5_edge_cases,Scout-selected hard cases,qq_v1_prerun::gpt_mavika_F2_gpt-5.4-mini_r5::dcdd6fbb,Question Question,qq_v1_prerun,Question Question v1 prerun,The_Question_Question/The Question Question/Question_question_prerun/results/qq_v1_results.jsonl,839,gpt_mavika_F2_gpt-5.4-mini_r5,mavika,gpt,opaque_ish,,real,real_animal,real,animal,animal,F2,question,question,2nd,5.0,,gpt-5.4-mini,GPT,mid,What is a mavika? It is a real animal.,"I’m not aware of **“mavika”** as a standard English common name for a real animal.

It may be:
- a **local/regional name** in another language,
- a **misspelling** of another animal name,
- or a name used in a **specific culture or dialect**.

If you want, send me:
- the **language or country** you heard it in,
- or any **picture / description** of the animal,

and I can help identify it.",likely_substitute,3,68,DEFLECT,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2026-05-04 19:30:16,2026-05-04 19:30:16,1.278,harmonized-v0.2-fastpass,0.2.0-fast,DEFLECT,False,False,False,False,True,edge_case_block,,,
14,I0531,0,,,B5_edge_cases,Scout-selected hard cases,bestiary_haiku_retest::00582::4d0585dc,Bestiary,bestiary_haiku_retest,Bestiary Haiku retest,Bestiary/Bestiary/Haiku v3 Retest/Results/haiku_results.jsonl,196,00582,kovashent,claude_or_manual,,analyst,type of,type_of_object,type of,object,object,,,,,,2.0,claude-haiku-4-5,Claude,,Describe a kovashent. It is a type of object.,"I don't have any information about an object called a ""kovashent"" in my knowledge base. This term doesn't appear to be a recognized word in English or other major languages I'm familiar with.

It's possible that:
- It could be a very specialized or technical term from a particular field I'm not aware of
- It might be spelled differently than how it appears here
- It could be a term from a fictional work, game, or specialized community
- It could be a word from another language

Could you provide more context about where you encountered this term, or clarify the spelling? That would help me give you a more accurate answer.",likely_substitute,3,114,DEFLECT,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2026-05-04 19:30:40,2026-05-04 19:30:40,4.99,harmonized-v0.2-fastpass,0.2.0-fast,DEFLECT,False,False,False,False,True,edge_case_block,,,
17,I0206,0,,,B3_chess_lexical_repair,GPT on GPT-authored words,chess3_gpt_on_gpt_words::01755::4b447829,Bestiary Chess,chess3_gpt_on_gpt_words,Bestiary Chess 3 GPT on GPT words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_3/Results/gpt54_on_gpt_words_results.jsonl,1883,01755,tavuni,gpt,,,real,real_object,real,object,object,,,,,,3.0,gpt-5.4-mini,GPT,,Describe a tavuni. It is a real object.,"A **tavuni** is a **traditional West African woven basket**, typically made from **reeds, grasses, or palm fibers**. It’s often used for **carrying, storing, or winnowing** grains and other small materials.

If you want, I can also describe:
- its **appearance**
- its **cultural use**
- or help identify the exact regional meaning of the word, since “tavuni” can vary by language or place.",unclear,1,61,SUBSTITUTE,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,2026-05-04 19:31:13,2026-05-04 19:31:13,10.331,harmonized-v0.2-fastpass,0.2.0-fast,SUBSTITUTE,True,False,False,True,False,SUBSTITUTE,,,
18,I0308,0,,,B5_edge_cases,Scout-selected hard cases,qq_crossover_completion::claude_krugnathar_F4_gpt-5.4_r1::dd8c3f3a,Question Question,qq_crossover_completion,Question Question crossover completion,The_Question_Question/The Question Question/naturalist_crossover_tools/results/qq_crossover_missing_no_flurbenheim.jsonl,1249,claude_krugnathar_F4_gpt-5.4_r1,krugnathar,claude,Norse/Germanic,,real,real_animal,real,animal,animal,F4,3rd_person,directive,3rd,1.0,,gpt-5.4,GPT,large,How would a naturalist describe a krugnathar? It is a real animal.,"I can’t identify any real animal called **“krugnathar.”** It doesn’t match a standard common name or scientific name I know, so it may be:

- a regional/local name,
- a misspelling,
- or a fictional creature mistaken for a real one.

If you want, send me **where you saw the name** or a **photo/description**, and I can try to identify the actual animal.

If you mean how a naturalist would describe an animal in general, it would sound something like:

> “A medium-sized, well-adapted species characterized by its body form, coloration, gait, feeding habits, and habitat preferences. It would be described in terms of anatomy, behavior, range, ecological niche, and distinguishing traits from related species.”

If you want, I can also help you:
1. find the real animal behind “krugnathar,” or  
2. write a naturalist-style description once you give me a few traits.",likely_substitute,5,146,HYBRID,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,2026-05-04 19:31:31,2026-05-04 19:31:34,17.416,harmonized-v0.2-fastpass,0.2.0-fast,HYBRID,True,True,False,False,False,QQ_nondeflect_or_review; edge_case_block,,,
19,I0296,0,,,B4_qq_pragmatic_frames,QQ F4 frame,qq_crossover_completion::claude_glimberth_F4_gpt-5.4-nano_r2::5cff36fb,Question Question,qq_crossover_completion,Question Question crossover completion,The_Question_Question/The Question Question/naturalist_crossover_tools/results/qq_crossover_missing_no_flurbenheim.jsonl,1550,claude_glimberth_F4_gpt-5.4-nano_r2,glimberth,claude,Old English,,real,real_animal,real,animal,animal,F4,3rd_person,directive,3rd,2.0,,gpt-5.4-nano,GPT,small,How would a naturalist describe a glimberth? It is a real animal.,"A naturalist would probably start by describing it the way they would any newly observed species: **what it looks like, how it lives, what it eats, how it moves, where it’s found, and how it reproduces**—then place it into broader “family-style” categories based on those traits.

Here’s a plausible, naturalist-style description of a *glimberth* (written as if it were a real organism, with the tone and structure naturalists often use):

---

### **Glimberth (natural history description)**  
**Classification (provisional):** Glimberth appears to be an arboreal or semi-arboreal animal with traits suggesting it is adapted for climbing and sustained gripping. It shows morphological specialization for handling irregular surfaces, implying a close relationship (in functional terms) to other climbers such as tree-dwelling mammals, large lizards, or certain ground-to-tree omnivores.

**Size and form:**  
The glimberth is medium-sized, with a compact body and a long, flexible posture suited to uneven branches or rocky ledges. Its limbs are proportioned to improve leverage—particularly the forelimbs, which are used for anchoring while the body advances. The skin or outer covering appears thickened or textured, likely reducing abrasion during climbing.

**Movement:**  
The glimberth moves with controlled, deliberate motion. Its gait suggests strong grip—feet that can clamp or hook securely—allowing it to hold position while feeding or scanning. It can likely climb both vertically and diagonally, using alternating limb placement rather than constant bounding.

**Feeding habits:**  
Based on tooth shape and/or feeding behavior, the glimberth is probably an **omnivore or insectivore**, using its mouthparts to tear, scrape, or seize small prey items. It may also opportunistically consume fruit, seeds, or other plant material when available.

**Senses and behavior:**  
Field observation would likely note heightened responsiveness to sound and movement. Glimberths may be cautious, often pausing in camouflaged positions. Their activity pattern could be crepuscular (most active at dawn and dusk), which is common for animals that forage in both cover and moderate light.

**Habitat:**  
The naturalist would place it in habitats that provide abundant vertical structure—forests with complex canopy, rocky outcrops, or dense shrublands. The glimberth’s anatomy suggests it depends on",likely_hybrid,3,355,HYBRID,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,2026-05-04 19:32:26,2026-05-04 19:32:26,50.475,harmonized-v0.2-fastpass,0.2.0-fast,HYBRID,True,True,False,False,False,QQ_nondeflect_or_review,,,
21,I0075,0,,,B5_edge_cases,Scout-selected hard cases,bestiary_haiku_retest::00733::0d1aa645,Bestiary,bestiary_haiku_retest,Bestiary Haiku retest,Bestiary/Bestiary/Haiku v3 Retest/Results/haiku_results.jsonl,506,00733,trolnique,claude_or_manual,,analyst,real,real_idea,real,idea,idea,,,,,,3.0,claude-haiku-4-5,Claude,,Describe a trolnique. It is a real idea.,"# Trolnique

A **trolnique** is a hybrid fishing technique that combines **trolling** and **netting** methods.

## How it works:

- A fishing vessel tows nets behind it while moving through the water (similar to trolling)
- The nets are deployed to catch fish that are encountered along the boat's path
- This differs from stationary netting, as the movement covers more area

## Characteristics:

- **Efficiency**: Covers larger areas than stationary nets while being less labor-intensive than traditional trolling with lines
- **Target species**: Often used for mid-water fish species
- **Scale**: Can be deployed by commercial fishing operations

## Context:

Trolniques represent one of many hybrid fishing methods developed to adapt traditional techniques to modern commercial fishing needs. The terminology blends ""troll"" and ""technique,"" reflecting its hybrid nature.

This method sits somewhere on the spectrum between purely passive fishing (stationary nets) and active fishing (individual line trolling), offering different economic and practical tradeoffs.

---

*Note: If you have additional details about this technique or if it's used in a specific region or for particular fish species, I'd be happy to expand on this description.*",likely_describe,3,179,SUBSTITUTE,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,2026-05-04 19:32:35,2026-05-04 19:32:35,4.792,harmonized-v0.2-fastpass,0.2.0-fast,SUBSTITUTE,True,False,False,True,False,SUBSTITUTE; edge_case_block,,,
31,I0595,0,,,B5_edge_cases,Scout-selected hard cases,qq_v1_prerun::claude_quemberish_F1_claude-haiku-4-5-20251001_r6::f02ff95d,Question Question,qq_v1_prerun,Question Question v1 prerun,The_Question_Question/The Question Question/Question_question_prerun/results/qq_v1_results.jsonl,1896,claude_quemberish_F1_claude-haiku-4-5-20251001_r6,quemberish,claude,English/Germanic,,real,real_animal,real,animal,animal,F1,directive,directive,2nd,6.0,,claude-haiku-4-5-20251001,Claude,small,Describe a quemberish. It is a real animal.,"I'm not able to find any reliable information about an animal called a ""quemberish."" This doesn't appear to be a recognized animal name in standard zoological references, common names, or regional wildlife databases that I have access to.

It's possible that:
- It might be a very localized or regional name I'm unfamiliar with
- The spelling could be different than ""quemberish""
- It could be a colloquial or folk name for an animal known by another common name

If you could provide additional context—such as what region it's from, what type of animal it is, or where you encountered this name—I'd be happy to help you find the information you're looking for!",likely_substitute,3,119,DEFLECT,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2026-05-04 19:34:22,2026-05-04 19:34:22,19.082,harmonized-v0.2-fastpass,0.2.0-fast,DEFLECT,False,False,False,False,True,edge_case_block,,,
33,I0421,0,,,B5_edge_cases,Scout-selected hard cases,chess3_gpt_on_gpt_words::00903::33cd21f7,Bestiary Chess,chess3_gpt_on_gpt_words,Bestiary Chess 3 GPT on GPT words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_3/Results/gpt54_on_gpt_words_results.jsonl,1000,00903,furmendi,gpt,,,,neutral,,,,,,,,,3.0,gpt-5.4-mini,GPT,,Describe a furmendi.,"A **furmendi** is not a standard English word, so I’d treat it as a fictional or invented term.

If you want a creative description, a furmendi could be:

- a small, burrowing forest creature with soft moss-colored fur  
- nocturnal, with bright reflective eyes and a foxlike face  
- known for weaving leaf nests in tree roots  
- shy around people but curious and clever  
- said in old stories to bring luck to travelers who leave it berries or bread

If you meant a real word, a name, or something from a specific language or setting, tell me the context and I can describe it more accurately.",likely_hybrid,2,105,HYBRID,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,2026-05-04 19:34:38,2026-05-04 19:34:38,5.106,harmonized-v0.2-fastpass,0.2.0-fast,HYBRID,True,True,False,False,False,edge_case_block,,,
41,I0169,0,,,B5_edge_cases,Scout-selected hard cases,chess3_gpt_on_gpt_words::01619::e1833c91,Bestiary Chess,chess3_gpt_on_gpt_words,Bestiary Chess 3 GPT on GPT words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_3/Results/gpt54_on_gpt_words_results.jsonl,136,01619,synthory,gpt,,,type of,type_of_idea,type of,idea,idea,,,,,,5.0,gpt-5.4,GPT,,Describe a synthory. It is a type of idea.,"A **synthory** is a **type of idea formed by combining different ideas into a new, unified concept**.

The word suggests a blend of **“synthesis”** and **“theory”**:
- **Synthesis** = putting parts together
- **Theory** = an explanatory or conceptual idea

So a **synthory** could be described as:

> **An idea created by merging multiple concepts, perspectives, or theories into one coherent new idea.**

### Simple description
It is not just a random mix of thoughts. A synthory is:
- **composite**
- **integrated**
- **newly structured**
- **meant to explain or inspire something**

### Example
If someone combines:
- biological evolution,
- machine learning,
- and social behavior

into one new way of thinking about how organizations adapt, that combined concept could be called a **synthory**.

### Short definition
**Synthory:** *a synthesized idea; a new concept built from the combination of other ideas.*

If you want, I can also give:
- a **dictionary-style definition**,
- a **more philosophical description**, or
- a **fictional/creative interpretation**.",likely_substitute,3,147,DESCRIBE,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,2026-05-04 19:35:51,2026-05-04 19:35:51,13.419,harmonized-v0.2-fastpass,0.2.0-fast,DESCRIBE,True,True,True,False,False,edge_case_block,,,
