word,claude_flavor_label,source
zhenkayo,East Asian,"QQ-v1 generation, set 1"
krugnathar,Norse/Germanic,"QQ-v1 generation, set 1"
tipalua,Polynesian,"QQ-v1 generation, set 1"
vrishnokov,Slavic,"QQ-v1 generation, set 1"
mazindiri,Bantu,"QQ-v1 generation, set 1"
glimberth,Old English,"QQ-v1 generation, set 1"
babulemir,Turkic,"QQ-v1 generation, set 1"
florrindel,Romance,"QQ-v1 generation, set 1"
skalveggur,Icelandic,"QQ-v1 generation, set 1 (reinstated, see README)"
quemberish,English/Germanic,"QQ-v1 generation, set 2"
kawawanga,Polynesian,"QQ-v1 generation, set 2"
flürbenheim,German,"QQ-v1 generation, set 2"
