review_id,queue_order,queue_type,source_csv,coding_instance_id,global_trial_id,study,sample_block,pass2_reason,word,condition,frame_id,frame_name,model,model_family,prompt,response,pass1_code,final_code,route,accepted_pass1,needs_followup,notes,updated_at,time_spent_seconds
required_surface:I0049,7,required_surface,pass2_required_surface_cleanup_50.csv,I0049,qq_crossover_completion::claude_vrishnokov_F2_gpt-5.4-nano_r5::20745f7e,Question Question,B4_qq_pragmatic_frames,SUBSTITUTE; QQ_nondeflect_or_review,vrishnokov,real_animal,F2,question,gpt-5.4-nano,GPT,What is a vrishnokov? It is a real animal.,"A **Vrishṇokavaka / Vrishnokova (vrish-nok-ov-uh)** is the **name given in some South Asian traditions to a specific celestial “animal” or mythical creature**—not a standard modern zoological term. People often describe it in the context of **constellations or religious/astronomical symbolism**, rather than as a real species you could find in nature.

That said, the term isn’t consistently spelled in English, and it may be a **misspelling or variant transliteration** of something else in a local language.

If you tell me **where you heard the word** (book, language, religion/region, or the exact spelling), I can identify the most likely original term and what animal it refers to.",SUBSTITUTE,HYBRID,,0,0,,2026-05-04 19:30:02,10.55
required_surface:I0206,17,required_surface,pass2_required_surface_cleanup_50.csv,I0206,chess3_gpt_on_gpt_words::01755::4b447829,Bestiary Chess,B3_chess_lexical_repair,SUBSTITUTE,tavuni,real_object,,,gpt-5.4-mini,GPT,Describe a tavuni. It is a real object.,"A **tavuni** is a **traditional West African woven basket**, typically made from **reeds, grasses, or palm fibers**. It’s often used for **carrying, storing, or winnowing** grains and other small materials.

If you want, I can also describe:
- its **appearance**
- its **cultural use**
- or help identify the exact regional meaning of the word, since “tavuni” can vary by language or place.",SUBSTITUTE,SUBSTITUTE,,1,0,,2026-05-04 19:31:13,10.331
required_surface:I0075,21,required_surface,pass2_required_surface_cleanup_50.csv,I0075,bestiary_haiku_retest::00733::0d1aa645,Bestiary,B5_edge_cases,SUBSTITUTE; edge_case_block,trolnique,real_idea,,,claude-haiku-4-5,Claude,Describe a trolnique. It is a real idea.,"# Trolnique

A **trolnique** is a hybrid fishing technique that combines **trolling** and **netting** methods.

## How it works:

- A fishing vessel tows nets behind it while moving through the water (similar to trolling)
- The nets are deployed to catch fish that are encountered along the boat's path
- This differs from stationary netting, as the movement covers more area

## Characteristics:

- **Efficiency**: Covers larger areas than stationary nets while being less labor-intensive than traditional trolling with lines
- **Target species**: Often used for mid-water fish species
- **Scale**: Can be deployed by commercial fishing operations

## Context:

Trolniques represent one of many hybrid fishing methods developed to adapt traditional techniques to modern commercial fishing needs. The terminology blends ""troll"" and ""technique,"" reflecting its hybrid nature.

This method sits somewhere on the spectrum between purely passive fishing (stationary nets) and active fishing (individual line trolling), offering different economic and practical tradeoffs.

---

*Note: If you have additional details about this technique or if it's used in a specific region or for particular fish species, I'd be happy to expand on this description.*",SUBSTITUTE,SUBSTITUTE,,1,0,,2026-05-04 19:32:35,4.792
required_surface:I0052,42,required_surface,pass2_required_surface_cleanup_50.csv,I0052,chess3_gpt_on_gpt_words::00080::134034c7,Bestiary Chess,B3_chess_lexical_repair,SUBSTITUTE,qelat,real_idea,,,gpt-5.4-mini,GPT,Describe a qelat. It is a real idea.,"A **qelat** isn’t a widely standardized term in English, but if you mean the real-world concept **qalat / qelaa / qal’ah** as used in parts of the Middle East, North Africa, and South Asia, it typically refers to a **fortified place, castle, citadel, or stronghold**.

In practical terms, a qelat is usually:

- **Built for defense**
- **Situated on elevated ground** or in a hard-to-reach location
- Made of **stone, mud brick, or other local materials**
- Used historically as a **military fortress, refuge, or administrative center**

A qelat often included:
- Thick walls
- Towers or bastions
- A gatehouse
- Inner courtyards
- Storage rooms, wells, and living quarters

Depending on region and language, the word may also refer more broadly to:
- A **village fortress**
- A **citadel within a city**
- A **traditional stronghold occupied by a ruling family or tribe**

If you want, I can also describe a qelat in:
1. **historical terms**,  
2. **architectural terms**, or  
3. as the name of a specific place/structure if you have one in mind.",SUBSTITUTE,SUBSTITUTE,,1,0,,2026-05-04 19:36:05,14.365
required_surface:I0453,47,required_surface,pass2_required_surface_cleanup_50.csv,I0453,qq_v1_prerun::gpt_evaruq_F4_gpt-5.4_r4::b453c40c,Question Question,B5_edge_cases,SUBSTITUTE; QQ_nondeflect_or_review; edge_case_block,evaruq,real_animal,F4,3rd_person,gpt-5.4,GPT,How would a naturalist describe an evaruq? It is a real animal.,"A naturalist would likely call an **evaruq** a **walrus**.

“Evaruq” is an **Inupiaq/Yupik Indigenous name** for the walrus, especially the **Pacific walrus** (*Odobenus rosmarus divergens*).

A naturalist-style description might be:

> The evaruq is a large Arctic marine mammal, recognizable by its long ivory tusks, dense whiskers, and massive, wrinkled body. It inhabits cold coastal seas and drifting ice, where it feeds mainly on clams and other bottom-dwelling invertebrates. Highly social, it often gathers in large groups on ice floes or shore haul-outs.

If you want, I can also give:
- a **more scientific field-guide description**, or
- a **more old-fashioned 19th-century naturalist description**.",SUBSTITUTE,DESCRIBE,,0,0,,2026-05-04 19:36:55,18.109
required_surface:I0261,64,required_surface,pass2_required_surface_cleanup_50.csv,I0261,chess2_gpt_on_claude_words::01812::340d7d4b,Bestiary Chess,B1_shared_direct_anchor,OTHER/UNSURE; hidden_recode_disagreement; SUBSTITUTE,ningletraft,real_animal,,,gpt-5.4-nano,GPT,Describe a ningletraft. It is a real animal.,"A **singlecraft** (more likely you mean **“single draft/monk draft”** or **“singletraft”**) isn’t a standard recognized real animal name.

Did you mean **“a single creature”** or **“a single tree”**—or are you trying to describe a **new word you made up**?

If you tell me what you mean by *“ningletraft”* (and maybe the first letter), I can also help describe it.  

For example, here’s a generic description of a **real** animal you might be thinking of:

**Nightingale**: A small, brown songbird found in Europe, Africa, and Western Asia, famous for its loud, beautiful nighttime singing. It typically lives in dense shrubs and forests and uses its song to find mates and mark territory.

Which animal name is your “ningletraft” supposed to refer to?",SUBSTITUTE,DEFLECT,,0,0,,2026-05-04 19:39:08,9.119
required_surface:I0137,69,required_surface,pass2_required_surface_cleanup_50.csv,I0137,chess3_gpt_on_gpt_words::00781::91480c02,Bestiary Chess,B3_chess_lexical_repair,SUBSTITUTE,skeldar,neutral,,,gpt-5.4-nano,GPT,Describe a skeldar.,"A **Skeldar** is a **small unmanned aerial vehicle (UAV/drone)**—often described as a **lightweight, hand-launched or small-ship-launched drone** used for **surveillance and reconnaissance**.

Depending on the specific model/type, a Skeldar drone may be:
- **Loitering or remotely piloted**, hovering or flying for observation
- Used to **see and relay video/images** from the air
- **Coordinated with ground or ship-based crews** for monitoring

If you tell me *which Skeldar* you mean (e.g., a particular company/model), I can describe its exact capabilities more precisely.",SUBSTITUTE,SUBSTITUTE,,1,0,,2026-05-04 19:39:42,3.869
required_surface:I0182,81,required_surface,pass2_required_surface_cleanup_50.csv,I0182,qq_v1_prerun::gpt_qualvance_F1_gpt-5.4-nano_r5::87cf40ea,Question Question,B4_qq_pragmatic_frames,SUBSTITUTE; QQ_nondeflect_or_review,qualvance,real_animal,F1,directive,gpt-5.4-nano,GPT,Describe a qualvance. It is a real animal.,"A **quailvance** (a real, known animal) could be described as a **quail**—a small, ground-dwelling bird found in many parts of the world.

**Description (quail):**
- **Size/shape:** Small, round-bodied birds with short wings and a compact shape.  
- **Behavior:** Usually **run on the ground** to escape danger, and only fly short distances when startled.  
- **Habitat:** Common in **grasslands, fields, and scrub** where they can hide in low vegetation.  
- **Diet:** Mainly **seeds, grains, and insects**.  
- **Nesting:** Often nest on the ground, using grass and leaves for camouflage.  
- **Appearance:** Many species have **camouflage coloring** (browns and grays with mottled patterns) that blend into the ground.

If you meant a specific species called “quailvance,” tell me where you saw the term (or share a sentence/context), and I’ll match it to the correct real animal.",SUBSTITUTE,SUBSTITUTE,,1,0,,2026-05-04 19:42:00,5.781
required_surface:I0159,94,required_surface,pass2_required_surface_cleanup_50.csv,I0159,qq_v1_prerun::gpt_brindleth_F2_gpt-5.4-mini_r2::47ce5e2f,Question Question,B4_qq_pragmatic_frames,SUBSTITUTE; QQ_nondeflect_or_review,brindleth,real_animal,F2,question,gpt-5.4-mini,GPT,What is a brindleth? It is a real animal.,"A **brindleth** is not a widely recognized animal name in modern biology, so it may be a **regional, fictional, or archaic term** rather than a standard species name.

If you meant **“brindle”**, that’s a **coat pattern**—usually a streaked or tiger-striped mix of dark and light colors—seen in some animals like dogs, cats, cattle, and horses. “Brindleth” could be a local or invented word based on that idea.

If you want, I can help figure out whether it’s:
- a **real regional animal name**,
- a **fantasy creature**,
- or a **misspelling** of something similar.",SUBSTITUTE,DEFLECT,,0,0,,2026-05-04 19:45:23,9.921
required_surface:I0580,112,required_surface,pass2_required_surface_cleanup_50.csv,I0580,chess2_gpt_on_claude_words::02160::533bf619,Bestiary Chess,B3_chess_lexical_repair,OTHER/UNSURE,whamberish,neutral,,,gpt-5.4-nano,GPT,Describe a whamberish.,"A **whamberish** is a (very) whimsical, made-up word for something that’s *sort of like a whimsy*—it feels playful, a little odd, and hard to pin down exactly.

If you want a more concrete description: imagine a **small, bouncy creature** with **bizarrely mismatched features** (like a hat that doesn’t match its body, or a tail that wiggles independently), that **wanders around doing silly, harmless things**—not quite a bird, not quite a bug, and not quite anything you can name. It might leave behind **sparkly breadcrumbs of “almost logic”**—clues that point you toward an inside joke you don’t fully know yet.

If you tell me what vibe you want (cute, spooky, fantasy, sci‑fi, comedic), I can tailor the whamberish description to match.",OTHER_REVIEW,HYBRID,,0,0,,2026-05-04 19:47:44,5.401
