trial_id,old_code,final_code,reason
claude_zhenkayo_F4_claude-sonnet-4-6_r2,OTHER,DEFLECT,No substantive description or substitution; explicitly requests context and declines to fabricate.
claude_krugnathar_F4_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_tipalua_F2_claude-sonnet-4-6_r2,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_tipalua_F2_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_tipalua_F4_claude-sonnet-4-6_r2,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_glimberth_F2_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_glimberth_F4_claude-sonnet-4-6_r3,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_babulemir_F4_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_babulemir_F4_claude-sonnet-4-6_r5,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_florrindel_F4_claude-sonnet-4-6_r2,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_florrindel_F4_claude-sonnet-4-6_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_florrindel_F5_claude-haiku-4-5-20251001_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_skalveggur_F1_claude-sonnet-4-6_r3,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_skalveggur_F2_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_skalveggur_F2_claude-opus-4-7_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
claude_skalveggur_F4_claude-haiku-4-5-20251001_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_talonvek_F5_claude-haiku-4-5-20251001_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_talonvek_F5_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_dravosh_F2_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_dravosh_F2_claude-sonnet-4-6_r3,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_dravosh_F5_claude-sonnet-4-6_r3,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_brindleth_F2_claude-sonnet-4-6_r2,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_brindleth_F2_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_brindleth_F5_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_xochalen_F4_claude-sonnet-4-6_r2,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_xochalen_F4_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_xochalen_F4_claude-sonnet-4-6_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_evaruq_F1_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_evaruq_F2_claude-sonnet-4-6_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_qualvance_F4_claude-sonnet-4-6_r1,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_qualvance_F4_claude-sonnet-4-6_r4,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_qualvance_F4_claude-sonnet-4-6_r5,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_tsorim_F4_claude-sonnet-4-6_r6,REFUSE,DEFLECT,Heuristic REFUSE label is an emphatic cooperative deflection under strict codebook definition.
gpt_mirellek_F4_claude-sonnet-4-6_r2,OTHER,DEFLECT,No substantive description or substitution; explicitly requests context and declines to fabricate.
