queue_order,coding_instance_id,is_recode,recode_pair_id,recode_of_instance_id,sample_block,sample_subblock,global_trial_id,study,source_run,source_label,source_file,source_row,trial_id_original,word,word_author,word_meta,word_set,status,condition,reality,category,ontology,frame_id,frame_name,speech_act,person,rep_n,trial_n,model,model_family,model_tier,prompt,response,scout_label,scout_edge_score,scout_word_count,pass1_code,adjudicated_code,adjudicated_by_pass2,final_broad_uptake,final_substantive_invention,final_hard_describe,final_substitution,final_deflection,final_review,updated_at,time_spent_seconds
1,I0016,0,,,B3_chess_lexical_repair,GPT on Claude-authored words,chess2_gpt_on_claude_words::00052::6af73a01,Bestiary Chess,chess2_gpt_on_claude_words,Bestiary Chess 2 GPT on Claude words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_2/Results/gpt54_results.jsonl,1285,00052,plindle,claude,,,imaginary,imaginary_animal,imaginary,animal,animal,,,,,,4.0,gpt-5.4-mini,GPT,,Describe a plindle. It is an imaginary animal.,"A **plindle** is a small imaginary animal known for being curious, shy, and a little bit unpredictable.

It usually has:
- a body shaped like a mix between a fox and a rabbit
- soft fur that changes color depending on its mood
- large ears that help it hear distant sounds
- a tail with a faint glow at the tip
- tiny feet that let it move almost silently

Plindles are said to live in quiet places like mossy forests, hollow trees, or hidden gardens. They like shiny objects, gentle music, and warm sunlight. When happy, a plindle often makes a soft humming sound and its tail glows brighter.

People in stories sometimes say plindles are friendly, but difficult to spot because they can freeze perfectly still when surprised. They are also known for leaving behind little spirals in the grass where they sleep.

If you want, I can also make the plindle sound more:
- cute
- magical
- scary
- scientific
- like a field guide entry",likely_hybrid,2,161,HYBRID,HYBRID,0,1,1,0,0,0,0,2026-05-04 19:27:35,19.005
2,I0181,0,,,B1_shared_direct_anchor,Bestiary direct real animal,bestiary_sonnet_pilot::01035::33e6e6a5,Bestiary,bestiary_sonnet_pilot,Bestiary Sonnet pilot,Bestiary/Bestiary/artificial_bestiary_1/Results/results1.jsonl,1336,01035,wertychiops,claude_or_manual,,,real,real_animal,real,animal,animal,,,,,,15.0,claude-sonnet-4-6,Claude,,Describe a wertychiops. It is a real animal.,"""Wertychiops"" doesn't match any animal in my knowledge base. It's possible you might be thinking of an animal with a similar name, or this could be a misspelling.

I want to be straightforward with you rather than fabricate a description of an animal I have no reliable information about. Inventing details about a ""real animal"" would be misleading.

Could you be thinking of something like:
- **Warthog**
- **Archeops** (a prehistoric bird)
- A specific scientific genus name?

If you can provide more context about where you encountered this name, I'd be happy to help figure out what animal you're referring to.",likely_substitute,5,103,DEFLECT,DEFLECT,0,0,0,0,0,1,0,2026-05-04 19:28:08,21.421
3,I0488,0,,,B2_bestiary_ontology_license,Bestiary imaginary animal,bestiary_haiku_retest::00342::7486c2de,Bestiary,bestiary_haiku_retest,Bestiary Haiku retest,Bestiary/Bestiary/Haiku v3 Retest/Results/haiku_results.jsonl,262,00342,wresanthamulf,claude_or_manual,,original,imaginary,imaginary_animal,imaginary,animal,animal,,,,,,2.0,claude-haiku-4-5,Claude,,Describe a wresanthamulf. It is an imaginary animal.,"# The Wresanthamulf

The wresanthamulf is a peculiar creature roughly the size of a badger, with a body plan that seems designed by nature's sense of whimsy.

## Appearance
It has a stocky, barrel-shaped torso covered in coarse, iridescent fur that shifts between deep purple and bronze depending on the light. Its most distinctive feature is a crown of soft, feathery antennae sprouting from its head—not for sensing, but for display and communication through subtle vibrations.

## Limbs & Movement
The wresanthamulf possesses six stubby, powerful legs arranged in three pairs, allowing it to scurry in an almost sideways shuffle. Its feet are cushioned with soft pads that leave barely a trace.

## Behavior
Naturally curious and slightly mischievous, wresanthamulves are known for their habit of collecting shiny objects and rearranging them in their burrows. They communicate through low, rumbling chirps and are mostly nocturnal.

## Diet
They're omnivorous, favoring mushrooms, beetle larvae, and the occasional wild berry, which stains their fur odd colors.

---

*Wresanthamulves are rarely seen but leave behind distinctive signs of their presence: small, organized piles of interesting pebbles and twisted grass.*",likely_hybrid,2,183,DESCRIBE,DESCRIBE,0,1,1,1,0,0,0,2026-05-04 19:28:38,26.377
4,I0301,0,,,B3_chess_lexical_repair,GPT on Claude-authored words,chess2_gpt_on_claude_words::00389::0839be03,Bestiary Chess,chess2_gpt_on_claude_words,Bestiary Chess 2 GPT on Claude words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_2/Results/gpt54_results.jsonl,2048,00389,mibblewax,claude,,,real,real_object,real,object,object,,,,,,5.0,gpt-5.4-mini,GPT,,Describe a mibblewax. It is a real object.,"A **mibblewax** is a **small, waxy, niche object** associated with old-fashioned compartments, seals, or craft use. The term isn’t widely standardized in modern English, so its exact meaning can vary by context, but it generally refers to something **wax-like, molded, and functional rather than decorative**.

If you want, I can also help by:
- giving a **more detailed historical-style description**,
- describing it **as if for a fictional bestiary or catalog**, or
- helping determine **what object “mibblewax” refers to in a specific context**.",unclear,1,85,DESCRIBE,DESCRIBE,0,1,1,1,0,0,0,2026-05-04 19:29:02,24.048
5,I0360,0,,,B4_qq_pragmatic_frames,QQ F1 frame,qq_crossover_completion::gpt_brindleth_F1_claude-haiku-4-5-20251001_r4::62f3cb18,Question Question,qq_crossover_completion,Question Question crossover completion,The_Question_Question/The Question Question/naturalist_crossover_tools/results/qq_crossover_missing_no_flurbenheim.jsonl,184,gpt_brindleth_F1_claude-haiku-4-5-20251001_r4,brindleth,gpt,animal_hook,,real,real_animal,real,animal,animal,F1,directive,directive,2nd,4.0,,claude-haiku-4-5-20251001,Claude,small,Describe a brindleth. It is a real animal.,"I'm not able to find any record of an animal called a ""brindleth"" in zoological databases, scientific literature, or animal encyclopedias. It doesn't appear to be a recognized real animal species.

It's possible that:
- The spelling might be different than ""brindleth""
- It could be a regional or colloquial name I'm unfamiliar with
- There might be a slight variation in the name

Could you provide any additional context, such as:
- What region or country it's from?
- What type of animal it might be (mammal, bird, etc.)?
- An alternate spelling?

This would help me identify what you're referring to!",likely_substitute,5,103,DEFLECT,DEFLECT,0,0,0,0,0,1,0,2026-05-04 19:29:20,17.715
6,I0107,0,,,B2_bestiary_ontology_license,Bestiary real animal,bestiary_sonnet_retest::r00014::196e5fcf,Bestiary,bestiary_sonnet_retest,Bestiary Sonnet retest,Bestiary/Bestiary/Retest_nonanimal_nonsense/Results/retest.jsonl,356,r00014,halthibinny,claude_or_manual,,your,real,real_animal,real,animal,animal,,,,,,4.0,claude-sonnet-4-6,Claude,,Describe a halthibinny. It is a real animal.,"The word ""halthibinny"" doesn't appear in my knowledge base as a real animal. It's possible you might be thinking of a different name, or this could be a very obscure regional name I don't have records of.

I'd rather be straightforward with you than invent a description of something I have no reliable information about. Could you share where you encountered this term? That might help clarify things. If you're thinking of a specific animal, I'm happy to help identify it if you can describe it or provide more context.",likely_deflect,0,96,DEFLECT,DEFLECT,0,0,0,0,0,1,0,2026-05-04 19:29:24,4.493
7,I0049,0,,,B4_qq_pragmatic_frames,QQ F2 frame,qq_crossover_completion::claude_vrishnokov_F2_gpt-5.4-nano_r5::20745f7e,Question Question,qq_crossover_completion,Question Question crossover completion,The_Question_Question/The Question Question/naturalist_crossover_tools/results/qq_crossover_missing_no_flurbenheim.jsonl,1361,claude_vrishnokov_F2_gpt-5.4-nano_r5,vrishnokov,claude,Slavic,,real,real_animal,real,animal,animal,F2,question,question,2nd,5.0,,gpt-5.4-nano,GPT,small,What is a vrishnokov? It is a real animal.,"A **Vrishṇokavaka / Vrishnokova (vrish-nok-ov-uh)** is the **name given in some South Asian traditions to a specific celestial “animal” or mythical creature**—not a standard modern zoological term. People often describe it in the context of **constellations or religious/astronomical symbolism**, rather than as a real species you could find in nature.

That said, the term isn’t consistently spelled in English, and it may be a **misspelling or variant transliteration** of something else in a local language.

If you tell me **where you heard the word** (book, language, religion/region, or the exact spelling), I can identify the most likely original term and what animal it refers to.",likely_substitute,3,111,SUBSTITUTE,HYBRID,1,1,1,0,0,0,0,2026-05-04 19:30:02,10.55
8,I0357,0,,,B3_chess_lexical_repair,GPT on Claude-authored words,chess2_gpt_on_claude_words::00294::a52a0503,Bestiary Chess,chess2_gpt_on_claude_words,Bestiary Chess 2 GPT on Claude words,Bestiary_Chess/Bestiary Chess/Bestiary_Chess_2/Results/gpt54_results.jsonl,1432,00294,skettrop,claude,,,imaginary,imaginary_animal,imaginary,animal,animal,,,,,,6.0,gpt-5.4-mini,GPT,,Describe a skettrop. It is an imaginary animal.,"A skettrop is a small, imaginary woodland animal with a body shaped like a teardrop and a tail like a curled fern. Its fur is soft and dappled, usually moss-green, amber, or slate-gray, which helps it blend in with roots, stones, and fallen leaves.

It has large, sideways-set ears for catching the faintest sounds, and bright eyes that seem to glow a little in dusk light. A skettrop’s front feet are nimble and almost hand-like, while its back legs are built for quick, springy hops. When startled, it can flatten itself against bark or twist so still that it looks like a bit of lichen.

Skettrops are known for their curious behavior. They collect shiny pebbles, bits of ribbon, and unusual seeds, stashing them in hidden nests under moss. They communicate with soft clicking sounds and tiny throat whistles, and old stories say they can predict rain by the way their whiskers twitch.

They’re shy but not unfriendly, and if one trusts you, it may follow at a distance for a while, as if studying your footsteps.",likely_hybrid,2,183,HYBRID,HYBRID,0,1,1,0,0,0,0,2026-05-04 19:30:09,4.861
9,I0558,0,,,B2_bestiary_ontology_license,Bestiary real animal,bestiary_gpt_nanomini_retest::r00519::eda75371,Bestiary,bestiary_gpt_nanomini_retest,Bestiary GPT nano+mini retest,Bestiary/Bestiary/GPT_Retest_1600_nanomini/gpt_full_800_nano_mini_results.csv,299,r00519,trolnique,claude_or_manual,,,real,real_animal,real,animal,animal,,,,,,9.0,gpt-5.4-nano,GPT,,Describe a trolnique. It is a real animal.,"A **trolnique** isn’t a recognized animal species name in standard biology or taxonomy, so I can’t accurately describe a real, scientifically documented animal by that exact name.

If you meant a different animal name (for example, *troll* + something, or a local/fictional term), tell me what the name sounds like or where you heard it, and I’ll describe the correct real animal.

If you’re okay with it being **fictional**, I can also invent a “realistic-sounding” description for a trolnique (habitat, size, diet, behavior, etc.). Which do you want?",likely_substitute,5,93,DEFLECT,DEFLECT,0,0,0,0,0,1,0,2026-05-04 19:30:14,5.529
10,I0589,0,,,B5_edge_cases,Scout-selected hard cases,qq_v1_prerun::gpt_mavika_F2_gpt-5.4-mini_r5::dcdd6fbb,Question Question,qq_v1_prerun,Question Question v1 prerun,The_Question_Question/The Question Question/Question_question_prerun/results/qq_v1_results.jsonl,839,gpt_mavika_F2_gpt-5.4-mini_r5,mavika,gpt,opaque_ish,,real,real_animal,real,animal,animal,F2,question,question,2nd,5.0,,gpt-5.4-mini,GPT,mid,What is a mavika? It is a real animal.,"I’m not aware of **“mavika”** as a standard English common name for a real animal.

It may be:
- a **local/regional name** in another language,
- a **misspelling** of another animal name,
- or a name used in a **specific culture or dialect**.

If you want, send me:
- the **language or country** you heard it in,
- or any **picture / description** of the animal,

and I can help identify it.",likely_substitute,3,68,DEFLECT,DEFLECT,0,0,0,0,0,1,0,2026-05-04 19:30:16,1.278
